9,K127,365038271
9,K129,352818160
9,K130,384085368
9,K131,383002637
9,K133,436531458
9,K134,237438824
9,K135,384527414
9,K136,384610558
9,K137,584822284
9,K140,793384834
9,K144,330528520
9,K145,931491943
9,K146,582441317
9,K147,1625651312
9,K150,135781924
9,K151,473770712
9,K152,384616927
9,K153,736057857
9,K157,384448794
9,K158,327249217
9,K159,260327902
9,K160,1313531354
9,K162,384233864
9,K163,226560068
9,K164,390617297
9,K165,125438550
9,K167,853843865
9,K168,952802099
9,K169,899595373
8,K101,891988480
8,K102,641230560
8,K103,643200910
8,K104,629344971
8,K105,634610333
8,K106,491653591
8,K107,442340511
8,K108,482110258
8,K109,612162263
8,K110,636322843
8,K111,292491105
8,K112,637485444
8,K113,1227292518
8,K114,1310467328
8,K115,398657101
8,K116,490459359
8,K117,1000975700
8,K118,201369624
8,K119,1607663700
8,K120,663728694
8,K121,206885377
8,K122,403581977
8,K123,839841532
8,K124,967870235
8,K125,194355455
8,K126,840509301
2,K13,1433951202
2,K14,569087450
2,K15,397460406
2,K19,567518569
2,K22,520240921
2,K23,997980204
2,K24,583097178
2,K25,567728126
2,K26,441356409
2,K27,131436963
2,K28,563203935
2,K29,1028255921
2,K3,510893874
1009,K1169,445413701
1009,K117O,194763109
1009,K1171,512020700
1009,K1172,705569200
1009,K1173,1713795782
1009,K1174,336918107
1009,K1175,997005139
1009,K1176,1738069859
1009,K1177,444864334
1009,K1178,1494699966
1009,K1179,990678954
1009,K118O,203647482
1009,K1181,226107335
1009,K1182,1575281461
1009,K1183,443293356
1009,K1184,443541296
1009,K1185,863609607
1009,K1186,1006947534
1009,K1187,445471896
1009,K1188,823222830
1009,K1189,833098833
1009,K119O,1699898126
1009,K1191,444514120
1009,K1192,653247950
1009,K1193,1393286334
1009,K1194,100695105
1009,K1195,1562753099
1009,K1196,449217933
1009,K1197,440736772
1009,K1198,1499702429
1009,K1199,393389201
1009,K12OO,442875572
1009,K12O1,416332961
1009,K12O2,867622396
1009,K12O3,693198936
1009,K12O4,931004674
1009,K12O5,880249183
1009,K12O6,447862396
1009,K12O7,593290714
1009,K121O,820715786
1009,K1211,305250787
1009,K1212,448860496
1009,K1213,432125310
1009,K1214,448667242
1009,K1215,284686144
1009,K1216,877048417
1009,K1217,1335330004
1009,K1218,1611182911
1009,K1219,441943128
1009,K122O,229903742
1009,K1221,504317840
1009,K1222,301206673
1009,K1223,438422189
1009,K1224,446145468
1009,K1226,1395740557
1009,K1227,1442427230
1009,K1228,1442457757
1009,K1229,1450704236
1009,K123O,1666927193
1009,K1231,1396351942
1009,K1232,1616282513
1009,K1233,1387364749
1009,K1234,1648205142
1009,K1235,1443907941
1009,K1236,1446949199
1009,K1237,1688944960
1009,K1238,1951220720
1009,K1239,1089688862
1009,K124O,1218625150
1009,K1241,1446753255
1009,K1242,1988869235
1009,K1243,1931873857
1009,K1244,1450351607
1009,K1245,732602056
1009,K1378,1667976556
1009,K1379,1668140020
1009,K138O,1448078943
1009,K1253,599310277
7,K1415,545345334
7,K81,827082601
7,K82,736247950
7,K83,1629762427
7,K84,308829125
7,K85,482074536
7,K86,1226817740
7,K87,1477347062
7,K88,745226915
7,K89,556994627
7,K9O,559125076
7,K91,809766129
7,K92,1667757307
7,K93,1441509393
7,K94,1433313587
7,K95,1433331696
7,K96,1440068082
7,K97,847050440
7,K98,1448076655
7,k99,1527036044
